speciesCode,comName,sciName,locId,locName,obsDt,howMany,lat,lng,obsValid,obsReviewed,locationPrivate,subId
turvul,Turkey Vulture,Cathartes aura,L5049911,Cedar Mountain Winery,2024-12-02 08:46,2.0,37.6612091,-121.6584456,True,False,False,S204300115
turvul,Turkey Vulture,Cathartes aura,L6315295,Carpinteria Bluffs seal haulout,2024-12-02 08:39,3.0,34.3855808,-119.5056899,True,False,False,S204299262
turvul,Turkey Vulture,Cathartes aura,L1032663,Hellers Bend Preserve,2024-12-02 08:29,3.0,33.3150414,-117.2340828,True,False,False,S204300953
turvul,Turkey Vulture,Cathartes aura,L368384,Marina SB and/or Marina Dunes Preserve,2024-12-02 08:13,1.0,36.6987049,-121.8100548,True,False,False,S204295417
turvul,Turkey Vulture,Cathartes aura,L1529614,Ukiah- Riverside Park,2024-12-02 08:00,4.0,39.1439901,-123.1825733,True,False,False,S204297316
turvul,Turkey Vulture,Cathartes aura,L18991004,"28019–28033 Calle Arroyo, San Juan Capistrano US-CA (33.5071,-117.6410)",2024-12-02 07:55,11.0,33.507142,-117.641001,True,False,True,S204291105
turvul,Turkey Vulture,Cathartes aura,L3059135,Braehurst Ln (Private),2024-12-02 07:54,4.0,38.3334764,-122.7875805,True,False,True,S204292923
turvul,Turkey Vulture,Cathartes aura,L420195,Big Morongo Canyon Preserve & Covington Park,2024-12-02 07:49,5.0,34.0497222,-116.5702639,True,False,False,S204300185
turvul,Turkey Vulture,Cathartes aura,L781491,"Home, river side",2024-12-02 07:45,1.0,39.0564257,-123.1424367,True,False,True,S204295826
turvul,Turkey Vulture,Cathartes aura,L1316658,Morro Bay SP--Marina/Boardwalk Trail,2024-12-02 07:40,1.0,35.3445235,-120.8418006,True,False,False,S204296795
turvul,Turkey Vulture,Cathartes aura,L382080,Horseshoe Road Recreation Area,2024-12-02 07:36,4.0,37.80932,-120.7174,True,False,False,S204292382
turvul,Turkey Vulture,Cathartes aura,L194688,Sepulveda Basin--East of Woodley Ave,2024-12-02 07:33,2.0,34.1767221,-118.4737308,True,False,False,S204300875
turvul,Turkey Vulture,Cathartes aura,L251839,Sweet Springs Nature Preserve,2024-12-02 07:03,1.0,35.3217375,-120.8422726,True,False,False,S204290028
turvul,Turkey Vulture,Cathartes aura,L168785,Sacramento NWR,2024-12-01 19:30,50.0,39.405434,-122.17191,True,False,False,S204256980
turvul,Turkey Vulture,Cathartes aura,L597003,Berkeley Aquatic Park,2024-12-01 16:12,1.0,37.855813,-122.2977448,True,False,False,S204247587
turvul,Turkey Vulture,Cathartes aura,L384938,San Diego Zoo Safari Park,2024-12-01 16:09,80.0,33.0973669,-116.9981978,True,False,False,S204253215
turvul,Turkey Vulture,Cathartes aura,L937554,Sundial Bridge,2024-12-01 16:03,1.0,40.5923826,-122.3775029,True,False,False,S204245973
turvul,Turkey Vulture,Cathartes aura,L4979024,Sacramento NWR--Wetlands Walk,2024-12-01 16:00,25.0,39.4303614,-122.1886969,True,False,False,S204255836
turvul,Turkey Vulture,Cathartes aura,L13878661,Oroville WA--north loops & boat launch,2024-12-01 16:00,2.0,39.4695753,-121.6042779,True,False,False,S204249054
turvul,Turkey Vulture,Cathartes aura,L27851394,"Waterfront Road, Martinez, California, US (38.026, -122.107)",2024-12-01 15:49,1.0,38.0259427,-122.107138,True,False,True,S204250604
turvul,Turkey Vulture,Cathartes aura,L4408441,Highwood Park,2024-12-01 15:47,1.0,32.7548761,-117.0283409,True,False,False,S204247144
turvul,Turkey Vulture,Cathartes aura,L1223006,Confidence-South Fork Rd.,2024-12-01 15:41,1.0,38.0564043,-120.2136683,True,False,False,S204246644
turvul,Turkey Vulture,Cathartes aura,L22641939,Bayberry,2024-12-01 15:40,1.0,33.965956,-117.716865,True,False,True,S204247335
turvul,Turkey Vulture,Cathartes aura,L38389003,1525 Cold Spring Lake From Porch,2024-12-01 15:39,7.0,38.7459872,-120.8679248,True,False,True,S204242537
turvul,Turkey Vulture,Cathartes aura,L1024893,Hayward Regional Shoreline--Mt. Trashmore,2024-12-01 15:30,1.0,37.6442428,-122.1498156,True,False,False,S204254886
turvul,Turkey Vulture,Cathartes aura,L12333337,"Hunt Dr, Santa Barbara US-CA 34.43293, -119.59541",2024-12-01 15:29,1.0,34.432929,-119.595414,True,False,True,S204244991
turvul,Turkey Vulture,Cathartes aura,L34128259,Ward Ave and Ten-mile Beach,2024-12-01 15:15,8.0,39.5093606,-123.7838909,True,False,True,S204255566
turvul,Turkey Vulture,Cathartes aura,L22809170,Chris San Jose Yard,2024-12-01 15:05,1.0,37.2767334,-121.9843843,True,False,True,S204239559
turvul,Turkey Vulture,Cathartes aura,L1042401,American River Parkway--Mayhew Drain area,2024-12-01 15:01,1.0,38.5712869,-121.3544011,True,False,False,S204248380
turvul,Turkey Vulture,Cathartes aura,L6542340,La Honda Creek OSP (lower),2024-12-01 15:00,2.0,37.326322,-122.2799885,True,False,False,S204251407
turvul,Turkey Vulture,Cathartes aura,L2600895,Twelfth District Fairgrounds--adjacent fields,2024-12-01 15:00,1.0,39.1644405,-123.2036448,True,False,False,S204238246
turvul,Turkey Vulture,Cathartes aura,L38390124,Carpinteria Sanitary District Office,2024-12-01 15:00,2.0,34.3933122,-119.5175493,True,False,True,S204249343
turvul,Turkey Vulture,Cathartes aura,L10661404,Knute Ranch,2024-12-01 14:57,2.0,35.4751296,-120.5002755,True,False,True,S204240890
turvul,Turkey Vulture,Cathartes aura,L1148142,Los Gatos Creek Trail--north of Camden Ave.,2024-12-01 14:54,1.0,37.2736533,-121.9474697,True,False,False,S204243206
turvul,Turkey Vulture,Cathartes aura,L468377,Lodi Lake Nature Area,2024-12-01 14:54,29.0,38.1513312,-121.2923241,True,True,False,S204245358
turvul,Turkey Vulture,Cathartes aura,L38389031,"8187 Pleasants Valley Road, Vacaville, California, US (38.465, -122.051)",2024-12-01 14:53,3.0,38.4647191,-122.0511747,True,False,True,S204242667
turvul,Turkey Vulture,Cathartes aura,L353255,Elkhorn Slough Reserve (NERR),2024-12-01 14:50,2.0,36.8182308,-121.7364764,True,False,False,S204258527
turvul,Turkey Vulture,Cathartes aura,L579586,Arcata Marsh--Klopp Lake,2024-12-01 14:49,3.0,40.855284,-124.095567,True,False,False,S204239415
turvul,Turkey Vulture,Cathartes aura,L4149969,Ferndale--Van Ness Ave.,2024-12-01 14:46,1.0,40.588148,-124.2588399,True,False,False,S204241087
turvul,Turkey Vulture,Cathartes aura,L23002930,Throop Park,2024-12-01 14:42,12.0,35.296353,-120.677038,True,False,True,S204238222
turvul,Turkey Vulture,Cathartes aura,L9756924,Wildcat Canyon Regional Park--Belgum Sanitarium,2024-12-01 14:40,2.0,37.9499524,-122.3073737,True,False,False,S204298232
turvul,Turkey Vulture,Cathartes aura,L614301,Bird Walk Coastal Access and Smith Brothers Road,2024-12-01 14:40,2.0,38.3213295,-123.0372924,True,False,False,S204240054
turvul,Turkey Vulture,Cathartes aura,L38388150,"2448 Westvale Court, Santa Rosa, California, US (38.454, -122.768)",2024-12-01 14:39,5.0,38.4540491,-122.7675662,True,False,True,S204238043
turvul,Turkey Vulture,Cathartes aura,L518894,Harbor Cove Way path,2024-12-01 14:36,1.0,37.8948386,-122.5017214,True,False,True,S204258885
turvul,Turkey Vulture,Cathartes aura,L8618674,"Casa Dr Pepper, Fountaingrove, Santa Rosa",2024-12-01 14:36,1.0,38.4775939,-122.6901911,True,False,True,S204241043
turvul,Turkey Vulture,Cathartes aura,L656782,Cosumnes River Preserve,2024-12-01 14:33,14.0,38.2658235,-121.4394915,True,False,False,S204242160
turvul,Turkey Vulture,Cathartes aura,L2225532,RB backyard,2024-12-01 14:32,4.0,40.1676783,-122.2438404,True,False,True,S204259563
turvul,Turkey Vulture,Cathartes aura,L38390187,"Alhambra Christmas Tree Farm, Martinez",2024-12-01 14:31,10.0,37.9665223,-122.1254933,True,False,True,S204250729
turvul,Turkey Vulture,Cathartes aura,L1337252,Colusa NWR--Auto Tour Route,2024-12-01 14:29,2.0,39.1851525,-122.0507795,True,False,False,S204256524
turvul,Turkey Vulture,Cathartes aura,L3135598,Laguna Coast Wilderness Park--Laguna Lakes,2024-12-01 14:29,2.0,33.6107558,-117.7590415,True,False,False,S204243189
turvul,Turkey Vulture,Cathartes aura,L918465,Santa Teresa County Park,2024-12-01 14:27,2.0,37.2122904,-121.7908287,True,False,False,S204245346
turvul,Turkey Vulture,Cathartes aura,L17827970,"Goodyear Rd. south incl Morrow Lane, Benicia",2024-12-01 14:25,6.0,38.1012364,-122.1036894,True,False,True,S204240554
turvul,Turkey Vulture,Cathartes aura,L5536265,Putah Creek--Canyon Creek Resort,2024-12-01 14:24,1.0,38.5152993,-122.0923948,True,False,False,S204242869
turvul,Turkey Vulture,Cathartes aura,L16550752,"Esencia Sports Park & Orchard Loop Trail, Rancho Mission Viejo",2024-12-01 14:23,2.0,33.548722,-117.6028895,True,False,False,S204248214
turvul,Turkey Vulture,Cathartes aura,L6173034,Bodega Head,2024-12-01 14:23,1.0,38.3035129,-123.0647721,True,False,True,S204237408
turvul,Turkey Vulture,Cathartes aura,L367367,Jensen River Ranch,2024-12-01 14:22,5.0,36.871051,-119.7844747,True,False,False,S204247195
turvul,Turkey Vulture,Cathartes aura,L24559879,"800–898 Creston Rd, Berkeley US-CA (37.8983,-122.2617)",2024-12-01 14:21,1.0,37.898299,-122.261748,True,False,True,S204244233
turvul,Turkey Vulture,Cathartes aura,L419591,Sacramento River NWR--Llano Seco Unit (viewing platform),2024-12-01 14:19,1.0,39.6049938,-121.9096184,True,False,False,S204238537
turvul,Turkey Vulture,Cathartes aura,L468580,Staten Island,2024-12-01 14:15,2.0,38.2020281,-121.5043546,True,False,False,S204296511
turvul,Turkey Vulture,Cathartes aura,L303500,Colusa NWR,2024-12-01 14:14,4.0,39.1864415,-122.0441835,True,False,False,S204243757
turvul,Turkey Vulture,Cathartes aura,L28294419,Fryer Creek Trail,2024-12-01 14:10,3.0,38.2850562,-122.4648939,True,False,True,S204238378
turvul,Turkey Vulture,Cathartes aura,L38390411,"24900 Calabasas Road, Calabasas, California, US (34.146, -118.67)",2024-12-01 14:10,1.0,34.1464178,-118.6696012,True,False,True,S204250722
turvul,Turkey Vulture,Cathartes aura,L1266027,Sea Breeze Market Cove,2024-12-01 14:06,1.0,37.8654693,-122.3065209,True,False,False,S204255005
turvul,Turkey Vulture,Cathartes aura,L38388206,"813 Bantam Way, Petaluma US-CA 38.23581, -122.65950",2024-12-01 14:06,2.0,38.235806,-122.659498,True,False,True,S204238284
turvul,Turkey Vulture,Cathartes aura,L38389607,"95690, Walnut Grove US-CA 38.25077, -121.50680",2024-12-01 13:59,27.0,38.250771,-121.506796,True,False,True,S204245922
turvul,Turkey Vulture,Cathartes aura,L1485318,Jalama Beach County Park,2024-12-01 13:58,2.0,34.5099836,-120.5014432,True,False,False,S204243225
turvul,Turkey Vulture,Cathartes aura,L21670459,Tijuana River Valley--campground,2024-12-01 13:56,4.0,32.5444885,-117.1032151,True,False,False,S204236996
turvul,Turkey Vulture,Cathartes aura,L2398963,Petaluma - Queens Lane Yard,2024-12-01 13:48,4.0,38.274053,-122.7244145,True,False,True,S204261210
turvul,Turkey Vulture,Cathartes aura,L1267262,Little River Airport--west end,2024-12-01 13:45,1.0,39.2671649,-123.7603855,True,False,False,S204255816
turvul,Turkey Vulture,Cathartes aura,L22087030,Ridgemark Golf Club-(no public access),2024-12-01 13:44,8.0,36.8131642,-121.3651707,True,False,False,S204248338
turvul,Turkey Vulture,Cathartes aura,L38390655,CA-44 at Cow Creek,2024-12-01 13:43,20.0,40.554941,-122.231182,True,False,True,S204252158
turvul,Turkey Vulture,Cathartes aura,L12633867,Palo Alto Regional Water Quality Control Plant (exterior paths),2024-12-01 13:41,2.0,37.4525065,-122.1108902,True,False,False,S204249238
turvul,Turkey Vulture,Cathartes aura,L373997,Pt. Mugu Naval Air Station (restricted access),2024-12-01 13:40,1.0,34.1113782,-119.111495,True,False,False,S204242658
turvul,Turkey Vulture,Cathartes aura,L18906351,"Coyote Creek Parkway, Morgan Hill US-CA 37.16711, -121.65085",2024-12-01 13:39,3.0,37.167107,-121.650853,True,False,True,S204240801
turvul,Turkey Vulture,Cathartes aura,L9735678,"Monte Vista and Soledad, Monterey, CA",2024-12-01 13:39,1.0,36.585521,-121.904888,True,False,True,S204233393
turvul,Turkey Vulture,Cathartes aura,L212642,Lafayette Reservoir,2024-12-01 13:35,2.0,37.881609,-122.1425327,True,False,False,S204244914
turvul,Turkey Vulture,Cathartes aura,L1336557,Krotona Rd.,2024-12-01 13:35,2.0,34.4370442,-119.2723579,True,False,False,S204256834
turvul,Turkey Vulture,Cathartes aura,L794123,Bayfront Park (CC Co.),2024-12-01 13:35,1.0,38.0118465,-122.2973907,True,False,False,S204255405
turvul,Turkey Vulture,Cathartes aura,L673458,Salton Sea--Wister Unit,2024-12-01 13:32,30.0,33.2806736,-115.5796909,True,False,False,S204246332
turvul,Turkey Vulture,Cathartes aura,L1353198,Turri Road,2024-12-01 13:30,4.0,35.3250835,-120.7948498,True,False,False,S204241453
turvul,Turkey Vulture,Cathartes aura,L266615,William Heise County Park,2024-12-01 13:30,3.0,33.0399122,-116.5925871,True,False,False,S204239318
turvul,Turkey Vulture,Cathartes aura,L2872058,Table Bluff--Hookton Rd. rookery,2024-12-01 13:27,4.0,40.6817257,-124.2308557,True,False,False,S204237593
turvul,Turkey Vulture,Cathartes aura,L9140284,"I-5 S, Red Bluff US-CA (40.1140,-122.2185)",2024-12-01 13:26,4.0,40.113999,-122.218483,True,False,True,S204228065
turvul,Turkey Vulture,Cathartes aura,L3065619,Antioch Marina,2024-12-01 13:21,1.0,38.0184125,-121.818552,True,False,False,S204227436
turvul,Turkey Vulture,Cathartes aura,L2220366,Hayward Regional Shoreline--Hayward Marsh,2024-12-01 13:20,6.0,37.6298244,-122.138958,True,False,False,S204242706
turvul,Turkey Vulture,Cathartes aura,L225847,American River Parkway--Sailor Bar,2024-12-01 13:20,16.0,38.6337613,-121.235827,True,False,False,S204238543
turvul,Turkey Vulture,Cathartes aura,L38387768,"NW Atascadero Creek East of Patterson - Bike Trail, Santa Barbara US-CA (34.4257,-119.8049)",2024-12-01 13:20,2.0,34.425709,-119.804919,True,False,True,S204236146
turvul,Turkey Vulture,Cathartes aura,L1451468,"Sycamore Valley Open Space, South (Sherburne Hills) Unit",2024-12-01 13:20,1.0,37.7962521,-121.9445299,True,False,True,S204241972
turvul,Turkey Vulture,Cathartes aura,L2095553,Islay Creek Campground--Montana de Oro SP,2024-12-01 13:12,1.0,35.2736118,-120.8838502,True,False,False,S204238075
turvul,Turkey Vulture,Cathartes aura,L280075,River Center,2024-12-01 13:11,5.0,36.9066512,-119.7576824,True,False,False,S204247178
turvul,Turkey Vulture,Cathartes aura,L694850,San Francisquito Creek Trail--Geng Rd. (SCL Co.),2024-12-01 13:06,2.0,37.4533073,-122.1206117,True,False,False,S204244228
turvul,Turkey Vulture,Cathartes aura,L372053,Pearson-Arastradero Preserve,2024-12-01 13:05,4.0,37.3871572,-122.174685,True,False,False,S204245915
turvul,Turkey Vulture,Cathartes aura,L5181030,Purisima Creek Rd. - east of Verde Rd ends at Purisima Creek Redwoods OSP,2024-12-01 13:02,6.0,37.417216,-122.398776,True,False,False,S204239379
turvul,Turkey Vulture,Cathartes aura,L109051,Corte Madera Marsh,2024-12-01 13:02,6.0,37.9314992,-122.5073895,True,False,False,S204240092
turvul,Turkey Vulture,Cathartes aura,L247085,Dairy Mart Road--Tijuana River/sod farm (view from road only),2024-12-01 13:02,4.0,32.5475753,-117.0628065,True,False,False,S204228393
