Do you have any pets? (select all that apply),Are you left handed or right handed?,"On a scale of 1-10, how extroverted are you?",How many people do you usually text in a day?,"How many hours of sleep do you usually get? Please type a number (e.g., type ""8.5"" not ""eight and a half"").",How do you sleep most often?,Which pant leg do you typically put on first?,"How many piercings do you have? Please type a number (e.g., type ""8"" not ""eight"").",Do you tend to prefer sweet or savory foods?
Cat,Right,4,4,7,On your right side,Right,7,Savory
Cat,Right,4,10 or more,7,On your left side,Right,0,Sweet
I used to have a dog,Right,7,2,6 - 8,On your right side,Right,0,Savory
Dog,Right,2,2,8,On your left side,Left,4,Savory
Cat,Right,7,2,7,On your left side,Left,0,Sweet
"Dog, Fish",Right,3,3,From 6-9 on a usual night.,On your right side,Right,0,Savory
None,Right,7,6,8.5,On your back,Left,0,Savory
"Dog, Bird",Right,7,2,8,On your back,Right,0,Sweet
"Dog, Cat",Right,7,3,7,On your left side,Left,4,Sweet
"Dog, Cat, Bunny",Right,8,5,8,On your right side,Left,2,Sweet
Dog,Right,7,2,6.5,On your right side,Right,3,Savory
Dog,Left,2,3,7,On your stomach,Left,0,Savory
Dog,Right,4,5,8,On your back,Right,1,Sweet
"None, ",Right,4,3,8.5,On your right side,Left,0,Savory
None,Right,3,1,7,On your stomach,Right,0,Sweet
"Dog, Cat",Right,4,5,7,On your left side,Left,0,Savory
Dog,Right,4,3,6,On your left side,Left,5,Sweet
None,Right,10,10 or more,7-12 depending on how my medication is working!,On your left side,Right,2,Sweet
None,Left,9,5,8,On your left side,Right,0,Savory
Dog,Right,2,5,7,On your right side,Right,0,Sweet
turtles,Right,3,1,7,On your left side,Left,0,Savory
None,Right,2,5,8,On your right side,Right,5,Savory
